"region_id","region_name","kingdom","forest","hill","marshes","mountains_low","mountains_med","mountains_high"
"72","Dunland","Dunland","Oak, blackthorn and rowan cling to stony, broken slopes, the grey knotted woods of the hill-folk, unwelcoming to outsiders. Bracken and gorse choke the gaps and cold becks cut steep ravines.","Rough heather-clad hill-country of grey stone and bracken, steep and broken, home of the wary hill-folk. Cold becks cut the slopes and the going is hard and unwelcoming.","","The lower folds of the Misty Mountains, pine-darkened and boulder-strewn, goat-paths winding among the roots of the range. Cold torrents cut the slopes and old orc-trails lace the gullies; rough and watchful going.","The middle reaches of the Hithaeglir, bare grey stone and loose scree above the last twisted pines. Mist clings to the crags, snow lingers in the shadows, and the passes are treacherous with rockfall and denning things.","The high peaks of the Misty Mountains, savage and storm-wracked: black fangs of rock and blue glacier ice swept by killing winds and sudden blizzards. Here the mountains themselves seem to wish the traveller dead."
"73","Forochel","Forochel","Thin boreal taiga of stunted spruce and pine, lichen-draped and snow-bent, surrendering quickly to open tundra. The trees grow low and hard and the silence is glacial.","Low snow-streaked tundra-hills of bare rock and frozen moss, wind-scoured and treeless under a pale northern sky.","Frozen fen and bog along the icebound shore, half-marsh half-tundra, meltwater pooling between hummocks of frozen moss where every step is a cold labour.","","",""
"74","Mordor","Mordor","No living wood survives, only dead groves of charred trunks and wire-twisted thorn, leafless snags black against an ashen sky. The very idea of forest has been burned out of the land.","","","Jagged volcanic foothills of black slag and clinker, riven by fumaroles and ash-choked gullies. Nothing grows; the rock is sharp as broken glass and the air tastes of sulphur and burning.","",""
"75","Forithilien","Gondor","North Ithilien still green beneath the shadow: stands of oak, ilex and pine threaded with myrtle, broom and sweet-smelling herbs, and streams running clear from the mountains. The loveliness is taut and watchful, for the smoke of Mordor drifts close across the Anduin and the silence listens.","Fertile foothills of the White Mountains, terraced with vine and olive and laced with clear streams. Warm and sunlit, the green skirts where mountain meets tilled land.","","","",""
"76","Nurn","Nurn","A few grey, struggling stands of hardy scrub and dead-looking trees cling to the shores of the bitter inland sea, half-alive under a smoke-stained sky. Little more than the memory of a forest.","","Brackish salt-fens along the Sea of Nurnen, grey and reeking, where slave-worked channels cut through salt-reed and mud under a smoke-stained sky.","The lower volcanic ridges above the Sea of Nurnen, grey-brown and barren but less utterly dead than the north, where slave-fields scrape what little the bitter soil allows.","",""
"77","Druwaith Laur","Gondor","Twisted, tangled woods of the rugged uplands, ancient and deserted: gnarled oak and thorn-brake over broken stony ground, home now only to scattered Druedain and Dunlending bands. A wild, depopulated march where the forest has crept back over abandoned Gondorian land.","Fertile foothills of the White Mountains, terraced with vine and olive and laced with clear streams. Warm and sunlit, the green skirts where mountain meets tilled land.","","The green foothills of the White Mountains, terraced with olive and vine where they meet the lowlands, laced with shepherd-paths and tumbling brooks. Warm, fertile and sunlit, the gentlest face of the great range.","The middle slopes of the Ered Nimrais, where forest yields to alpine meadow and grey crag. Cloud snags on the ridges, streams fall in white threads, and the air thins and chills as the green runs out into stone.","The high White Mountains, the Ered Nimrais, crowned with perpetual snow and glacier above the treeline. Knife-edged ridges and sheer pale walls blaze in the sun; the cold is absolute, the silence broken only by wind and distant ice."
"78","Hairavercien","Gondor","Cultivated, Mediterranean woodland: groves of holm-oak, chestnut and cypress give way to olive and almond on the warmer slopes, with orchards and flowering vales. The undergrowth is aromatic with broom, thyme and rockrose; tended, sunlit, prosperous woods.","Fertile foothills of the White Mountains, terraced with vine and olive and laced with clear streams. Warm and sunlit, the green skirts where mountain meets tilled land.","","The green foothills of the White Mountains, terraced with olive and vine where they meet the lowlands, laced with shepherd-paths and tumbling brooks. Warm, fertile and sunlit, the gentlest face of the great range.","The middle slopes of the Ered Nimrais, where forest yields to alpine meadow and grey crag. Cloud snags on the ridges, streams fall in white threads, and the air thins and chills as the green runs out into stone.","The high White Mountains, the Ered Nimrais, crowned with perpetual snow and glacier above the treeline. Knife-edged ridges and sheer pale walls blaze in the sun; the cold is absolute, the silence broken only by wind and distant ice."
"79","Andrast","Gondor","Cultivated, Mediterranean woodland: groves of holm-oak, chestnut and cypress give way to olive and almond on the warmer slopes, with orchards and flowering vales. The undergrowth is aromatic with broom, thyme and rockrose; tended, sunlit, prosperous woods.","Fertile foothills of the White Mountains, terraced with vine and olive and laced with clear streams. Warm and sunlit, the green skirts where mountain meets tilled land.","","The green foothills of the White Mountains, terraced with olive and vine where they meet the lowlands, laced with shepherd-paths and tumbling brooks. Warm, fertile and sunlit, the gentlest face of the great range.","The middle slopes of the Ered Nimrais, where forest yields to alpine meadow and grey crag. Cloud snags on the ridges, streams fall in white threads, and the air thins and chills as the green runs out into stone.","The high White Mountains, the Ered Nimrais, crowned with perpetual snow and glacier above the treeline. Knife-edged ridges and sheer pale walls blaze in the sun; the cold is absolute, the silence broken only by wind and distant ice."
"80","Rivendell","Rivendell","","","","","",""
"81","Lone-lands","Rhudaur","Grim, broken upland woods of stunted oak, pine and thorn strewn with mossy boulders, cold and ill-tended. In the Trollshaws and Ettenmoors the trees shelter trolls and worse among the tumbled grey stones.","Bleak boulder-strewn moor-hills of grey rock and coarse grass, cold and trackless, where trolls den among the tumbled stones and the wind moans across empty heights.","","","",""
"82","Fangorn","Fangorn","","","","","",""
"83","Dor Guldur","Dor Guldur","A sickened wood of strangled oak and webbed beech, lightless and rank, where the canopy mats out the sky and the very ground feels diseased. The dread of the Necromancer's hill seeps through every shadow.","","","","",""
"84","Lorien","Lorien","","","","","",""
"85","The Shire","Arthedain","Cool northern woods of birch, rowan and Scots pine over stony, heather-fringed soil, with stands of old oak in the sheltered hollows. Clean-aired and quiet, the groves of a fading Dunedain land where ruined walls surface among the roots.","Rolling green-grey downs of cropped turf and gorse, strewn with standing stones and grass-grown barrows, mist clinging low at dawn. The bones of old Arnor, walls, cairns, weather-worn towers, surface across the lonely heights.","The Midgewater Marshes: low sodden ground of shallow pools, reeds and clinging mud, plagued by clouds of midges and a ceaseless nightly croaking. Wet, wearying misery rather than true peril.","","",""
"86","Bree","Arthedain","Cool northern woods of birch, rowan and Scots pine over stony, heather-fringed soil, with stands of old oak in the sheltered hollows. Clean-aired and quiet, the groves of a fading Dunedain land where ruined walls surface among the roots.","Rolling green-grey downs of cropped turf and gorse, strewn with standing stones and grass-grown barrows, mist clinging low at dawn. The bones of old Arnor, walls, cairns, weather-worn towers, surface across the lonely heights.","The Midgewater Marshes: low sodden ground of shallow pools, reeds and clinging mud, plagued by clouds of midges and a ceaseless nightly croaking. Wet, wearying misery rather than true peril.","","",""
"87","Dorwinion","Dorwinion","Warm, dry woodland of cork-oak, pine and terebinth on sun-baked hillsides, edged by the famous vineyards of the Wineland. The light is hard and bright, the shade sparse and resin-scented, on the eastern edge of the maps.","","","","",""
