"region_id","region_name","kingdom","forest","hill","marshes","mountains_low","mountains_med","mountains_high","road","trail","plains"
"47","Ered Luin","Forlindon","Cold Elvish woods of the far north-west: wind-bent oak, downy birch and dark pine on stony slopes that fall toward the sea, the canopy sculpted low by salt gales. Deep fern and moss below, the light falling grey and silver in groves grown ancient and still.","","","The lower skirts of the Blue Mountains: rounded heather-clad shoulders of grey stone rising from the pinewoods, cut by cold streams and silent old dwarf-roads. Steep but never deadly, the air sharp with resin and sea-wind.","The middle heights of the Blue Mountains, bare rock breaking through the heath, wind singing in the gullies. Old delvings and the rubble of vanished dwarf-mansions scar the scree-slopes, and the cold bites even in summer.","","A quiet coastal track of grey stone laid by the Elves long ago, little used now, running between scattered havens above the sea-cliffs.","A faint cliff-path above the sea, salt-grass to either side, dipping to hidden coves and easily missed in the mist.",""
"48","Numeriador","Forlindon","Cold Elvish woods of the far north-west: wind-bent oak, downy birch and dark pine on stony slopes that fall toward the sea, the canopy sculpted low by salt gales. Deep fern and moss below, the light falling grey and silver in groves grown ancient and still.","","","","","","A quiet coastal track of grey stone laid by the Elves long ago, little used now, running between scattered havens above the sea-cliffs.","A faint cliff-path above the sea, salt-grass to either side, dipping to hidden coves and easily missed in the mist.",""
"49","Ascahiriand","Forlindon","Cold Elvish woods of the far north-west: wind-bent oak, downy birch and dark pine on stony slopes that fall toward the sea, the canopy sculpted low by salt gales. Deep fern and moss below, the light falling grey and silver in groves grown ancient and still.","","","","","","A quiet coastal track of grey stone laid by the Elves long ago, little used now, running between scattered havens above the sea-cliffs.","A faint cliff-path above the sea, salt-grass to either side, dipping to hidden coves and easily missed in the mist.",""
"50","En Udanoriath","Arthedain","Cool northern woods of birch, rowan and Scots pine over stony, heather-fringed soil, with stands of old oak in the sheltered hollows. Clean-aired and quiet, the groves of a fading Dunedain land where ruined walls surface among the roots.","Rolling green-grey downs of cropped turf and gorse, strewn with standing stones and grass-grown barrows, mist clinging low at dawn. The bones of old Arnor, walls, cairns, weather-worn towers, surface across the lonely heights.","The Midgewater Marshes: low sodden ground of shallow pools, reeds and clinging mud, plagued by clouds of midges and a ceaseless nightly croaking. Wet, wearying misery rather than true peril.","","","","An old Dunadan road, its worn paving-stones still true beneath the turf, running between friendly farms and waystones; a safe and travelled way where a cart or a rider is no rare sight.","A pleasant footpath winding over green downs, firm and dry underfoot, dipping between hedgerows where blackberries grow and a farm chimney is never far off.",""
"51","Mänoriand","Forlindon","Cold Elvish woods of the far north-west: wind-bent oak, downy birch and dark pine on stony slopes that fall toward the sea, the canopy sculpted low by salt gales. Deep fern and moss below, the light falling grey and silver in groves grown ancient and still.","","","","","","A quiet coastal track of grey stone laid by the Elves long ago, little used now, running between scattered havens above the sea-cliffs.","A faint cliff-path above the sea, salt-grass to either side, dipping to hidden coves and easily missed in the mist.",""
"52","Celanoriand","Forlindon","Cold Elvish woods of the far north-west: wind-bent oak, downy birch and dark pine on stony slopes that fall toward the sea, the canopy sculpted low by salt gales. Deep fern and moss below, the light falling grey and silver in groves grown ancient and still.","","","","","","A quiet coastal track of grey stone laid by the Elves long ago, little used now, running between scattered havens above the sea-cliffs.","A faint cliff-path above the sea, salt-grass to either side, dipping to hidden coves and easily missed in the mist.",""
"53","Sandariand","Forlindon","Cold Elvish woods of the far north-west: wind-bent oak, downy birch and dark pine on stony slopes that fall toward the sea, the canopy sculpted low by salt gales. Deep fern and moss below, the light falling grey and silver in groves grown ancient and still.","","","","","","A quiet coastal track of grey stone laid by the Elves long ago, little used now, running between scattered havens above the sea-cliffs.","A faint cliff-path above the sea, salt-grass to either side, dipping to hidden coves and easily missed in the mist.",""
"54","Talath Muil","Arthedain","Cool northern woods of birch, rowan and Scots pine over stony, heather-fringed soil, with stands of old oak in the sheltered hollows. Clean-aired and quiet, the groves of a fading Dunedain land where ruined walls surface among the roots.","Rolling green-grey downs of cropped turf and gorse, strewn with standing stones and grass-grown barrows, mist clinging low at dawn. The bones of old Arnor, walls, cairns, weather-worn towers, surface across the lonely heights.","The Midgewater Marshes: low sodden ground of shallow pools, reeds and clinging mud, plagued by clouds of midges and a ceaseless nightly croaking. Wet, wearying misery rather than true peril.","","","","An old Dunadan road, its worn paving-stones still true beneath the turf, running between friendly farms and waystones; a safe and travelled way where a cart or a rider is no rare sight.","A pleasant footpath winding over green downs, firm and dry underfoot, dipping between hedgerows where blackberries grow and a farm chimney is never far off.",""
"55","Rammas Formen","Arthedain","Cool northern woods of birch, rowan and Scots pine over stony, heather-fringed soil, with stands of old oak in the sheltered hollows. Clean-aired and quiet, the groves of a fading Dunedain land where ruined walls surface among the roots.","Rolling green-grey downs of cropped turf and gorse, strewn with standing stones and grass-grown barrows, mist clinging low at dawn. The bones of old Arnor, walls, cairns, weather-worn towers, surface across the lonely heights.","The Midgewater Marshes: low sodden ground of shallow pools, reeds and clinging mud, plagued by clouds of midges and a ceaseless nightly croaking. Wet, wearying misery rather than true peril.","","","","An old Dunadan road, its worn paving-stones still true beneath the turf, running between friendly farms and waystones; a safe and travelled way where a cart or a rider is no rare sight.","A pleasant footpath winding over green downs, firm and dry underfoot, dipping between hedgerows where blackberries grow and a farm chimney is never far off.",""
"56","Evendim Hills","Arthedain","Cool northern woods of birch, rowan and Scots pine over stony, heather-fringed soil, with stands of old oak in the sheltered hollows. Clean-aired and quiet, the groves of a fading Dunedain land where ruined walls surface among the roots.","Rolling green-grey downs of cropped turf and gorse, strewn with standing stones and grass-grown barrows, mist clinging low at dawn. The bones of old Arnor, walls, cairns, weather-worn towers, surface across the lonely heights.","The Midgewater Marshes: low sodden ground of shallow pools, reeds and clinging mud, plagued by clouds of midges and a ceaseless nightly croaking. Wet, wearying misery rather than true peril.","","","","An old Dunadan road, its worn paving-stones still true beneath the turf, running between friendly farms and waystones; a safe and travelled way where a cart or a rider is no rare sight.","A pleasant footpath winding over green downs, firm and dry underfoot, dipping between hedgerows where blackberries grow and a farm chimney is never far off.",""
"57","Fornost","Arthedain","Cool northern woods of birch, rowan and Scots pine over stony, heather-fringed soil, with stands of old oak in the sheltered hollows. Clean-aired and quiet, the groves of a fading Dunedain land where ruined walls surface among the roots.","Rolling green-grey downs of cropped turf and gorse, strewn with standing stones and grass-grown barrows, mist clinging low at dawn. The bones of old Arnor, walls, cairns, weather-worn towers, surface across the lonely heights.","The Midgewater Marshes: low sodden ground of shallow pools, reeds and clinging mud, plagued by clouds of midges and a ceaseless nightly croaking. Wet, wearying misery rather than true peril.","","","","An old Dunadan road, its worn paving-stones still true beneath the turf, running between friendly farms and waystones; a safe and travelled way where a cart or a rider is no rare sight.","A pleasant footpath winding over green downs, firm and dry underfoot, dipping between hedgerows where blackberries grow and a farm chimney is never far off.",""
"58","Old Forest","Old Forest","","","","","","","No true path; the ways of the Old Forest move and mislead, hedges of bramble closing where a track seemed to run, drawing the traveller inward.","A deceiving path that will not stay where it was, leading always downhill toward the Withywindle however the walker tries to hold his line.",""
"59","South Downs","Cardolan","A mixed land more than a wood: fertile lowland plains and pasture broken by ragged copses of oak and birch, the thinned remnant of older forest. Harsh winds scour the uplands while the river-vales lie green and tilled, dotted with the heath and bracken reclaiming abandoned ground.","Low chalk-and-turf downs rolling to the horizon, dotted with ancient barrows and crowned here and there by weathered stone. Open, windswept, and brooding over the old graves.","","","","","A weathered stretch of the Great North Road, once proud and now patched and rutted, its milestones toppled; still used by merchant caravans that move in numbers, wary of the empty leagues between towns.","A faint field-path through heath and old pasture, easy to lose where the bracken has swallowed it, threading between grass-grown barrows.",""
"60","Mintyrnath","Cardolan","A mixed land more than a wood: fertile lowland plains and pasture broken by ragged copses of oak and birch, the thinned remnant of older forest. Harsh winds scour the uplands while the river-vales lie green and tilled, dotted with the heath and bracken reclaiming abandoned ground.","Low chalk-and-turf downs rolling to the horizon, dotted with ancient barrows and crowned here and there by weathered stone. Open, windswept, and brooding over the old graves.","","","","","A weathered stretch of the Great North Road, once proud and now patched and rutted, its milestones toppled; still used by merchant caravans that move in numbers, wary of the empty leagues between towns.","A faint field-path through heath and old pasture, easy to lose where the bracken has swallowed it, threading between grass-grown barrows.",""
"61","Weather Hills","Arthedain","Cool northern woods of birch, rowan and Scots pine over stony, heather-fringed soil, with stands of old oak in the sheltered hollows. Clean-aired and quiet, the groves of a fading Dunedain land where ruined walls surface among the roots.","Rolling green-grey downs of cropped turf and gorse, strewn with standing stones and grass-grown barrows, mist clinging low at dawn. The bones of old Arnor, walls, cairns, weather-worn towers, surface across the lonely heights.","The Midgewater Marshes: low sodden ground of shallow pools, reeds and clinging mud, plagued by clouds of midges and a ceaseless nightly croaking. Wet, wearying misery rather than true peril.","","","","An old Dunadan road, its worn paving-stones still true beneath the turf, running between friendly farms and waystones; a safe and travelled way where a cart or a rider is no rare sight.","A pleasant footpath winding over green downs, firm and dry underfoot, dipping between hedgerows where blackberries grow and a farm chimney is never far off.",""
"62","Rohan","Rohan","True forest is scarce; the grass rules. What trees there are huddle as willow-copses and alder-thickets at the river-fords and in sheltered combes, islands of shade in a sea of green-gold turf loud with the ceaseless plains-wind.","","","The green foothills of the White Mountains, terraced with olive and vine where they meet the lowlands, laced with shepherd-paths and tumbling brooks. Warm, fertile and sunlit, the gentlest face of the great range.","The middle slopes of the Ered Nimrais, where forest yields to alpine meadow and grey crag. Cloud snags on the ridges, streams fall in white threads, and the air thins and chills as the green runs out into stone.","The high White Mountains, the Ered Nimrais, crowned with perpetual snow and glacier above the treeline. Knife-edged ridges and sheer pale walls blaze in the sun; the cold is absolute, the silence broken only by wind and distant ice.","A broad green horse-road worn into the turf rather than paved, wide enough for riders abreast, following the lie of the land across the open grass.","A thread of bent grass across the veld, no more than a deer-run in places, that the eye must work to keep as it dips through the endless turf.","Wide seas of green-gold grass rolling to the sky, combed endlessly by the wind, broken only by a distant horse-herd or the barrow of a fallen king."
"63","Wold","Rohan","True forest is scarce; the grass rules. What trees there are huddle as willow-copses and alder-thickets at the river-fords and in sheltered combes, islands of shade in a sea of green-gold turf loud with the ceaseless plains-wind.","","","","","","A broad green horse-road worn into the turf rather than paved, wide enough for riders abreast, following the lie of the land across the open grass.","A thread of bent grass across the veld, no more than a deer-run in places, that the eye must work to keep as it dips through the endless turf.","High open grassland at the edge of the horse-country, windswept and empty, the turf thinning toward the northern wilds."
"64","Apariach","Forlindon","Cold Elvish woods of the far north-west: wind-bent oak, downy birch and dark pine on stony slopes that fall toward the sea, the canopy sculpted low by salt gales. Deep fern and moss below, the light falling grey and silver in groves grown ancient and still.","","","","","","A quiet coastal track of grey stone laid by the Elves long ago, little used now, running between scattered havens above the sea-cliffs.","A faint cliff-path above the sea, salt-grass to either side, dipping to hidden coves and easily missed in the mist.",""
"65","Vinyalas","Forlindon","Cold Elvish woods of the far north-west: wind-bent oak, downy birch and dark pine on stony slopes that fall toward the sea, the canopy sculpted low by salt gales. Deep fern and moss below, the light falling grey and silver in groves grown ancient and still.","","","","","","A quiet coastal track of grey stone laid by the Elves long ago, little used now, running between scattered havens above the sea-cliffs.","A faint cliff-path above the sea, salt-grass to either side, dipping to hidden coves and easily missed in the mist.",""
"66","Forovirian","Forovirian","Cold, sparse stands of hardy pine and birch on the bleak northern skirts of Gundabad, wind-stripped and snow-streaked, thinning fast into bare rock.","","","The lower skirts of Mount Gundabad, bare grey stone and tundra-grass swept by an endless cold wind, snow lingering in the hollows of a grim orc-haunted height.","","","A harsh orc-trodden way through the cold northern uplands below Gundabad, unpaved and menacing, kept by the enemy rather than by any free folk.","A harsh trace over cold stone below Gundabad, orc-trodden and mean, that gives out among the boulders.",""
"67","Talath Uichel","Talath Uichel","At the edge of the Plain of Everlasting Cold, only dwarf-birch and creeping pine survive in sheltered hollows before the tundra takes all. Frost-stunted and sparse under a wide pale sky.","","","","","","No made road; a bleak route across the frozen plain marked by rare cairns, swept bare by the wind and lost under drifting snow.","A faint line across the frozen plain, read from drift and cairn, that the next wind will scour away.",""
"68","North Misty Mountains","Misty Mountains","","","","The lower folds of the Misty Mountains, pine-darkened and boulder-strewn, goat-paths winding among the roots of the range. Cold torrents cut the slopes and old orc-trails lace the gullies; rough and watchful going.","The middle reaches of the Hithaeglir, bare grey stone and loose scree above the last twisted pines. Mist clings to the crags, snow lingers in the shadows, and the passes are treacherous with rockfall and denning things.","The high peaks of the Misty Mountains, savage and storm-wracked: black fangs of rock and blue glacier ice swept by killing winds and sudden blizzards. Here the mountains themselves seem to wish the traveller dead.","A plain country track, unpaved and much like the land around it, kept open only by those who have reason to pass.","A faint path through the open country, easily followed in the clear and easily lost in the rough.",""
"69","Wilderness of Arnor","Wilderness of Arnor","Cold pine and spruce on the mountain skirts, dark and resinous, the needled floor muffling every step. Mist pools between the trunks; old boundary-stones and broken walls of lost Arnor surface among the roots.","Stony upland shoulders rising toward the High Pass, grass and lichen over grey rock, strewn with the rubble of old watch-towers and the boundary-marks of a lost realm.","","","","","A faint remnant of a Dunadan road climbing toward the High Pass, its stones scattered and grass-grown, more memory of a road than a road itself.","A faint upland trace among the pines, marked by cairns half-fallen, that fades into scree near the high places.",""
"70","Eregion","Cardolan","Hollin, the land of holly that gave the region its name: dark evergreen holly-woods and thickets scattered over rolling green country at the feet of the Misty Mountains, mild and strangely quiet. Among the trees lie the grass-grown ruins of Eregion's Elven-smiths, and a lingering stillness hangs where the Noldor once wrought their greatest works.","Low chalk-and-turf downs rolling to the horizon, dotted with ancient barrows and crowned here and there by weathered stone. Open, windswept, and brooding over the old graves.","","","","","A weathered stretch of the Great North Road, once proud and now patched and rutted, its milestones toppled; still used by merchant caravans that move in numbers, wary of the empty leagues between towns.","A faint field-path through heath and old pasture, easy to lose where the bracken has swallowed it, threading between grass-grown barrows.",""
"71","Moria","Moria","","","","The lower folds of the Misty Mountains, pine-darkened and boulder-strewn, goat-paths winding among the roots of the range. Cold torrents cut the slopes and old orc-trails lace the gullies; rough and watchful going.","The middle reaches of the Hithaeglir, bare grey stone and loose scree above the last twisted pines. Mist clings to the crags, snow lingers in the shadows, and the passes are treacherous with rockfall and denning things.","The high peaks of the Misty Mountains, savage and storm-wracked: black fangs of rock and blue glacier ice swept by killing winds and sudden blizzards. Here the mountains themselves seem to wish the traveller dead.","No road under the open sky, only the broken Dwarf-way climbing to the West-gate, and beyond it the black roads of Khazad-dum swallowed by the dark.","No trail beneath the sky save the goat-paths to the doors; within, only worked stone and the memory of Dwarf-roads swallowed in dark.",""
"72","Dunland","Dunland","Oak, blackthorn and rowan cling to stony, broken slopes, the grey knotted woods of the hill-folk, unwelcoming to outsiders. Bracken and gorse choke the gaps and cold becks cut steep ravines.","Rough heather-clad hill-country of grey stone and bracken, steep and broken, home of the wary hill-folk. Cold becks cut the slopes and the going is hard and unwelcoming.","","The lower folds of the Misty Mountains, pine-darkened and boulder-strewn, goat-paths winding among the roots of the range. Cold torrents cut the slopes and old orc-trails lace the gullies; rough and watchful going.","The middle reaches of the Hithaeglir, bare grey stone and loose scree above the last twisted pines. Mist clings to the crags, snow lingers in the shadows, and the passes are treacherous with rockfall and denning things.","The high peaks of the Misty Mountains, savage and storm-wracked: black fangs of rock and blue glacier ice swept by killing winds and sudden blizzards. Here the mountains themselves seem to wish the traveller dead.","A stony hill-track kept open by the clans, steep and winding between the crags, unpaved and hard on the feet, watched with suspicion where it passes near a steading.","A goat-track over broken hillside, faint and stony, that gives out among the crags and must be picked up again by instinct.",""
"73","Forochel","Forochel","Thin boreal taiga of stunted spruce and pine, lichen-draped and snow-bent, surrendering quickly to open tundra. The trees grow low and hard and the silence is glacial.","Low snow-streaked tundra-hills of bare rock and frozen moss, wind-scoured and treeless under a pale northern sky.","Frozen fen and bog along the icebound shore, half-marsh half-tundra, meltwater pooling between hummocks of frozen moss where every step is a cold labour.","","","","No made road at all; a route across the snow marked by cairns and whale-bone stakes, followed by sled and by foot, that vanishes with each fresh fall.","No trail but a line of footprints soon erased, a route read from the shape of the snow and the set of the wind by those who know the ice.",""
"74","Mordor","Mordor","No living wood survives, only dead groves of charred trunks and wire-twisted thorn, leafless snags black against an ashen sky. The very idea of forest has been burned out of the land.","","","Jagged volcanic foothills of black slag and clinker, riven by fumaroles and ash-choked gullies. Nothing grows; the rock is sharp as broken glass and the air tastes of sulphur and burning.","","","A black military causeway of rammed slag and ash, straight and pitiless, cut for the marching of armies; orc-tracks and slave-roads branch from it, and nothing travels here unseen.","A scored orc-path over clinker and ash, sharp underfoot and reeking of sulphur, branching into a dozen false ways among the fumaroles.","The cracked black plain of Gorgoroth, bare basalt and ash-drift riven by fissures, jagged and lifeless beneath the smoke of the Mountain."
"75","Forithilien","Gondor","North Ithilien still green beneath the shadow: stands of oak, ilex and pine threaded with myrtle, broom and sweet-smelling herbs, and streams running clear from the mountains. The loveliness is taut and watchful, for the smoke of Mordor drifts close across the Anduin and the silence listens.","Fertile foothills of the White Mountains, terraced with vine and olive and laced with clear streams. Warm and sunlit, the green skirts where mountain meets tilled land.","","","","","A well-kept Gondorian road of fitted stone, straight and sure, with drainage and standing waymarks; the traffic of trade and soldiery keeps it busy and its verges clear.","A trodden countryside path between orchards and terraces, sun-warm and clear, worn smooth by shepherds and farmhands.",""
"76","Nurn","Nurn","A few grey, struggling stands of hardy scrub and dead-looking trees cling to the shores of the bitter inland sea, half-alive under a smoke-stained sky. Little more than the memory of a forest.","","Brackish salt-fens along the Sea of Nurnen, grey and reeking, where slave-worked channels cut through salt-reed and mud under a smoke-stained sky.","The lower volcanic ridges above the Sea of Nurnen, grey-brown and barren but less utterly dead than the north, where slave-fields scrape what little the bitter soil allows.","","","A slave-road of beaten earth along the bitter sea, rutted by the carts that haul Nurn's grudging harvest north to feed the armies of the Dark Tower.","A slave-worn path between the salt-fields and the shore, churned and bitter, watched from the ridges by the overseers.","Grudging grey fields along the bitter sea, salt-crusted and slave-worked, flat and joyless under a smoke-stained sky."
"77","Druwaith Laur","Gondor","Twisted, tangled woods of the rugged uplands, ancient and deserted: gnarled oak and thorn-brake over broken stony ground, home now only to scattered Druedain and Dunlending bands. A wild, depopulated march where the forest has crept back over abandoned Gondorian land.","Fertile foothills of the White Mountains, terraced with vine and olive and laced with clear streams. Warm and sunlit, the green skirts where mountain meets tilled land.","","The green foothills of the White Mountains, terraced with olive and vine where they meet the lowlands, laced with shepherd-paths and tumbling brooks. Warm, fertile and sunlit, the gentlest face of the great range.","The middle slopes of the Ered Nimrais, where forest yields to alpine meadow and grey crag. Cloud snags on the ridges, streams fall in white threads, and the air thins and chills as the green runs out into stone.","The high White Mountains, the Ered Nimrais, crowned with perpetual snow and glacier above the treeline. Knife-edged ridges and sheer pale walls blaze in the sun; the cold is absolute, the silence broken only by wind and distant ice.","A well-kept Gondorian road of fitted stone, straight and sure, with drainage and standing waymarks; the traffic of trade and soldiery keeps it busy and its verges clear.","A trodden countryside path between orchards and terraces, sun-warm and clear, worn smooth by shepherds and farmhands.",""
"78","Hairavercien","Gondor","Cultivated, Mediterranean woodland: groves of holm-oak, chestnut and cypress give way to olive and almond on the warmer slopes, with orchards and flowering vales. The undergrowth is aromatic with broom, thyme and rockrose; tended, sunlit, prosperous woods.","Fertile foothills of the White Mountains, terraced with vine and olive and laced with clear streams. Warm and sunlit, the green skirts where mountain meets tilled land.","","The green foothills of the White Mountains, terraced with olive and vine where they meet the lowlands, laced with shepherd-paths and tumbling brooks. Warm, fertile and sunlit, the gentlest face of the great range.","The middle slopes of the Ered Nimrais, where forest yields to alpine meadow and grey crag. Cloud snags on the ridges, streams fall in white threads, and the air thins and chills as the green runs out into stone.","The high White Mountains, the Ered Nimrais, crowned with perpetual snow and glacier above the treeline. Knife-edged ridges and sheer pale walls blaze in the sun; the cold is absolute, the silence broken only by wind and distant ice.","A well-kept Gondorian road of fitted stone, straight and sure, with drainage and standing waymarks; the traffic of trade and soldiery keeps it busy and its verges clear.","A trodden countryside path between orchards and terraces, sun-warm and clear, worn smooth by shepherds and farmhands.",""
"79","Andrast","Gondor","Cultivated, Mediterranean woodland: groves of holm-oak, chestnut and cypress give way to olive and almond on the warmer slopes, with orchards and flowering vales. The undergrowth is aromatic with broom, thyme and rockrose; tended, sunlit, prosperous woods.","Fertile foothills of the White Mountains, terraced with vine and olive and laced with clear streams. Warm and sunlit, the green skirts where mountain meets tilled land.","","The green foothills of the White Mountains, terraced with olive and vine where they meet the lowlands, laced with shepherd-paths and tumbling brooks. Warm, fertile and sunlit, the gentlest face of the great range.","The middle slopes of the Ered Nimrais, where forest yields to alpine meadow and grey crag. Cloud snags on the ridges, streams fall in white threads, and the air thins and chills as the green runs out into stone.","The high White Mountains, the Ered Nimrais, crowned with perpetual snow and glacier above the treeline. Knife-edged ridges and sheer pale walls blaze in the sun; the cold is absolute, the silence broken only by wind and distant ice.","A well-kept Gondorian road of fitted stone, straight and sure, with drainage and standing waymarks; the traffic of trade and soldiery keeps it busy and its verges clear.","A trodden countryside path between orchards and terraces, sun-warm and clear, worn smooth by shepherds and farmhands.",""
"80","Rivendell","Rivendell","","","","","","","A steep hidden path winding down into the valley, well-tended but secret, that only those who know the way can follow to the Last Homely House.","A narrow mountain path zigzagging among pines and falls, sure but steep, with the sound of water always somewhere near.",""
"81","Lone-lands","Rhudaur","Grim, broken upland woods of stunted oak, pine and thorn strewn with mossy boulders, cold and ill-tended. In the Trollshaws and Ettenmoors the trees shelter trolls and worse among the tumbled grey stones.","Bleak boulder-strewn moor-hills of grey rock and coarse grass, cold and trackless, where trolls den among the tumbled stones and the wind moans across empty heights.","","","","","A broken remnant of an old Dunadan road, its stones heaved apart by frost and root, half-reclaimed by heather; a grim and little-mended way where travellers are watched from the hills.","Barely a trail at all, a lost thread through the black-pine hollows, marked only by old blazes cut in the bark and half healed over by time.",""
"82","Fangorn","Fangorn","","","","","","","No road at all, only the shifting aisles between the ancient trunks, where the forest itself seems to decide whether a path opens or closes.","No trail, only the choice of a way between vast roots, where the moss shows no footprint and the trees seem to shift behind the walker.",""
"83","Dor Guldur","Dor Guldur","A sickened wood of strangled oak and webbed beech, lightless and rank, where the canopy mats out the sky and the very ground feels diseased. The dread of the Necromancer's hill seeps through every shadow.","","","","","","A furtive orc-track beaten through the sick forest, muddy and root-choked, marked here and there by grisly totems; no honest road, only a way the enemy's servants use.","A furtive game-path through the strangled trees, slick with black mud and webbed overhead, that seems to lead the walker deeper against his will.",""
"84","Lorien","Lorien","","","","","","","No road of stone, but a way of trodden grass beneath the mallorn, quiet and clean, that the feet of the Galadhrim have kept for an age of the world.","A soft way through the golden grass beneath the mallorn, unmarked yet somehow never lost, as though the wood itself guided the feet.",""
"85","The Shire","Arthedain","Cool northern woods of birch, rowan and Scots pine over stony, heather-fringed soil, with stands of old oak in the sheltered hollows. Clean-aired and quiet, the groves of a fading Dunedain land where ruined walls surface among the roots.","Rolling green-grey downs of cropped turf and gorse, strewn with standing stones and grass-grown barrows, mist clinging low at dawn. The bones of old Arnor, walls, cairns, weather-worn towers, surface across the lonely heights.","The Midgewater Marshes: low sodden ground of shallow pools, reeds and clinging mud, plagued by clouds of midges and a ceaseless nightly croaking. Wet, wearying misery rather than true peril.","","","","An old Dunadan road, its worn paving-stones still true beneath the turf, running between friendly farms and waystones; a safe and travelled way where a cart or a rider is no rare sight.","A pleasant footpath winding over green downs, firm and dry underfoot, dipping between hedgerows where blackberries grow and a farm chimney is never far off.",""
"86","Bree","Arthedain","Cool northern woods of birch, rowan and Scots pine over stony, heather-fringed soil, with stands of old oak in the sheltered hollows. Clean-aired and quiet, the groves of a fading Dunedain land where ruined walls surface among the roots.","Rolling green-grey downs of cropped turf and gorse, strewn with standing stones and grass-grown barrows, mist clinging low at dawn. The bones of old Arnor, walls, cairns, weather-worn towers, surface across the lonely heights.","The Midgewater Marshes: low sodden ground of shallow pools, reeds and clinging mud, plagued by clouds of midges and a ceaseless nightly croaking. Wet, wearying misery rather than true peril.","","","","An old Dunadan road, its worn paving-stones still true beneath the turf, running between friendly farms and waystones; a safe and travelled way where a cart or a rider is no rare sight.","A pleasant footpath winding over green downs, firm and dry underfoot, dipping between hedgerows where blackberries grow and a farm chimney is never far off.",""
"87","Dorwinion","Dorwinion","Warm, dry woodland of cork-oak, pine and terebinth on sun-baked hillsides, edged by the famous vineyards of the Wineland. The light is hard and bright, the shade sparse and resin-scented, on the eastern edge of the maps.","","","","","","A dusty cart-road between the vineyards and river-wharves, warm and well-travelled, rich with the traffic of the wine-trade toward the east.","A warm path between the vine-rows, trodden by pickers, dusty and sweet with the smell of ripening grapes.",""
